table_name	column_name	data_type
SAP_BRSPD_V	DOCUMENT_DATE	DATE
SAP_BRSPD_V	DOCUMENT_TYPE	STRING
SAP_BRSPD_V	POSTING_DATE	DATE
SAP_BRSPD_V	VENDOR_INVOICE_NO	STRING
SAP_BRSPD_V	OBJECT	STRING
SAP_BRSPD_V	ACDOCA_OBJECT	STRING
SAP_BRSPD_V	OBJECT_DESCRIPTION	STRING
SAP_BRSPD_V	WBS	STRING
SAP_BRSPD_V	MATERIAL_LINE_ITEM_CODE	STRING
SAP_BRSPD_V	PURCHASE_ORDER	STRING
SAP_BRSPD_V	MATERIAL_LINE_ITEM_DESCRIPTION	STRING
SAP_BRSPD_V	COST_ELEMENT	STRING
SAP_BRSPD_V	COST_ELEMENT_NAME	STRING
SAP_BRSPD_V	OFFSETTING_ACCOUNT	STRING
SAP_BRSPD_V	REG_ACCOUNT	STRING
SAP_BRSPD_V	REG_ACCOUNT_DESCRIPTION	STRING
SAP_BRSPD_V	VAL_CO_AREA_CRCY	NUMERIC
SAP_BRSPD_V	OPERATION_FLAG	STRING
SAP_BRSPD_V	SAP_TICKET_ID	STRING
SAP_BRSPD_V	TICKET_PROPERTIES_ID	STRING
SAP_BRSPD_V	TICKET_STATUS	STRING
SAP_BRSPD_V	TICKET_TYPE	STRING
SAP_BRSPD_V	TICKET_TYPE_CATEGORY	STRING
SAP_BRSPD_V	TICKET_CREATED_DATETIME	DATETIME
SAP_BRSPD_V	TICKET_START_DATETIME	DATETIME
SAP_BRSPD_V	TICKET_DUE_DATETIME	DATETIME
SAP_BRSPD_V	TICKET_CREATOR_USERNAME	STRING
SAP_BRSPD_V	TICKET_ASSIGNED_USERNAME	STRING
SAP_BRSPD_V	TICKET_ASSIGNED_DATETIME	DATETIME
SAP_BRSPD_V	TICKET_REGION	STRING
SAP_BRSPD_V	PARENT_TICKET_PROJECT_NAME	STRING
SAP_BRSPD_V	PARSED_CLLI	STRING
SAP_BRSPD_V	WC_TICKET_CLLI	STRING
SAP_BRSPD_V	WC_SAP_PROJECT_NUMBER	STRING
SAP_BRSPD_V	WC_PROFILE	STRING
SAP_BRSPD_V	WC_COMPANY_CODE	STRING
SAP_BRSPD_V	WC_INVESTMENT_YEAR	STRING
SAP_BRSPD_V	WC_CONTRACTOR	STRING
SAP_BRSPD_V	WC_REQUESTOR_COST_CENTER	STRING
SAP_BRSPD_V	WC_RESPONDER_COST_CENTER	STRING
SAP_BRSPD_V	WC_CITY	STRING
SAP_BRSPD_V	WC_STATE	STRING
SAP_BRSPD_V	WC_ZIP	STRING
SAP_BRSPD_V	WC_LOCATION	STRING
SAP_BRSPD_V	WBS_ID	NUMERIC
SAP_BRSPD_V	WBS_STATUS	STRING
SAP_BRSPD_V	WBS_ELEMENT	STRING
SAP_BRSPD_V	WBS_STATISTICAL	BOOL
SAP_BRSPD_V	WBS_INTEREST_PROFILE	STRING
SAP_BRSPD_V	WBS_INVESTMENT_PROFILE	STRING
SAP_BRSPD_V	WBS_REG_ACCOUNT	STRING
SAP_BRSPD_V	WBS_WC_NAME	STRING
SAP_BRSPD_V	ADDRESS_COUNT	INT64
SAP_BRSPD_V	PREM_COUNT	INT64
ADDRESS_POLY_20230131	STR_NUM	STRING
ADDRESS_POLY_20230131	STR	STRING
ADDRESS_POLY_20230131	UNIT_DES	STRING
ADDRESS_POLY_20230131	UNIT_NUM	STRING
ADDRESS_POLY_20230131	CITY	STRING
ADDRESS_POLY_20230131	STATE	STRING
ADDRESS_POLY_20230131	ZIP	INT64
ADDRESS_POLY_20230131	ZIP4	STRING
ADDRESS_POLY_20230131	ZBA_PR_USE	STRING
ADDRESS_POLY_20230131	CNTY_FIPS	INT64
ADDRESS_POLY_20230131	ADDR_CONF	INT64
ADDRESS_POLY_20230131	ID	INT64
ADDRESS_POLY_20230131	STATUS	STRING
ADDRESS_POLY_20230131	AVAILABILTY_DATE	STRING
ADDRESS_POLY_20230131	SERVING_WIRE_CENTER_CLLI	STRING
ADDRESS_POLY_20230131	SERVING_WIRE_CENTER_NAME	STRING
ADDRESS_POLY_20230131	SERVICE_TYPE	STRING
ADDRESSABLE_PREMS_20221231	SOURCE	STRING
ADDRESSABLE_PREMS_20221231	STATE	STRING
ADDRESSABLE_PREMS_20221231	WC	STRING
ADDRESSABLE_PREMS_20221231	MONTH	DATE
ADDRESSABLE_PREMS_20221231	CT	INT64
MILESTONE_REPORT_V	TICKET_PROPERTIES_ID	STRING
MILESTONE_REPORT_V	TICKET_CREATOR_USERNAME	STRING
MILESTONE_REPORT_V	TICKET_ASSIGNED_USERNAME	STRING
MILESTONE_REPORT_V	TICKET_STATUS	STRING
MILESTONE_REPORT_V	TICKET_TYPE	STRING
MILESTONE_REPORT_V	TICKET_TYPE_CATEGORY	STRING
MILESTONE_REPORT_V	TICKET_CANCELLED_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_CREATED_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_ASSIGNED_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_LAST_MODIFIED_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_GROUP	STRING
MILESTONE_REPORT_V	TICKET_REGION	STRING
MILESTONE_REPORT_V	TICKET_UPDATE_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_PROJECT_NAME	STRING
MILESTONE_REPORT_V	TICKET_START_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_DUE_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_TICKET_DETAILS	STRING
MILESTONE_REPORT_V	TICKET_ONSITE_DATETIME	DATETIME
MILESTONE_REPORT_V	TICKET_PROJECT	STRING
MILESTONE_REPORT_V	WC_TICKET_ID	STRING
MILESTONE_REPORT_V	WC_PROPERTIES_TICKET_GROUP	STRING
MILESTONE_REPORT_V	WC_PROFILE	STRING
MILESTONE_REPORT_V	WC_COMPANY_CODE	STRING
MILESTONE_REPORT_V	WC_INVESTMENT_YEAR	STRING
MILESTONE_REPORT_V	WC_APPROVAL_YEAR	INT64
MILESTONE_REPORT_V	WC_SAP_PROJECT_NUMBER	STRING
