table_name,column_name,is_nullable,data_type
INVOICE_OVERVIEW_V,WC_TICKET_CLLI,YES,STRING
INVOICE_OVERVIEW_V,WC_SAP_PROJECT_NUMBER,YES,STRING
INVOICE_OVERVIEW_V,WC_PROFILE,YES,STRING
INVOICE_OVERVIEW_V,WC_COMPANY_CODE,YES,STRING
INVOICE_OVERVIEW_V,WC_INVESTMENT_YEAR,YES,STRING
INVOICE_OVERVIEW_V,WC_CONTRACTOR,YES,STRING
INVOICE_OVERVIEW_V,WC_REQUESTOR_COST_CENTER,YES,STRING
INVOICE_OVERVIEW_V,WC_RESPONDER_COST_CENTER,YES,STRING
INVOICE_OVERVIEW_V,WC_CITY,YES,STRING
INVOICE_OVERVIEW_V,WC_STATE,YES,STRING
INVOICE_OVERVIEW_V,WC_ZIP,YES,STRING
INVOICE_OVERVIEW_V,WC_LOCATION,YES,STRING
INVOICE_OVERVIEW_V,CUPS_ID,YES,INT64
INVOICE_OVERVIEW_V,CUPS_SAP_INVOICE_NO,YES,STRING
INVOICE_OVERVIEW_V,CUPS_ITEMS_ID,YES,INT64
INVOICE_OVERVIEW_V,CUPS_VENDOR_INVOICE_NO,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_VENDOR,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_SAP_STATUS,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_TICKET_TYPE,YES,STRING
INVOICE_OVERVIEW_V,CUPS_CREATED_DATE,YES,DATETIME
INVOICE_OVERVIEW_V,CUPS_SUBMITTED_DATE,YES,DATETIME
INVOICE_OVERVIEW_V,CUPS_APPROVED_DATE,YES,DATETIME
INVOICE_OVERVIEW_V,IQGEO_CUPS_PROJECT_NUMBER,YES,STRING
INVOICE_OVERVIEW_V,CUPS_ITEMS_SAP_STATUS,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_ITEMS_QTY_COMPLETED,YES,FLOAT64
INVOICE_OVERVIEW_V,IQGEO_UNIT_PRICE,YES,FLOAT64
INVOICE_OVERVIEW_V,TOTAL_COST_PER_TICKET,YES,FLOAT64
INVOICE_OVERVIEW_V,CUPS_ITEMS_DESCRIPTION,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_EXTERNAL_ID,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_EXTERNAL_MSGD,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_TASK_CODE,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_CUPS_OBJECT_NUMBER,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_COST_ELEMENT,YES,STRING
INVOICE_OVERVIEW_V,IQGEO_COST_ELEMENT_NAME,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,ID,YES,INT64
ScenarioSummary_BOM_Wed_May_17_2023,TITLE,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,WC,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,DESIGN_STATE,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,VENDOR,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,DERIVED,YES,BOOL
ScenarioSummary_BOM_Wed_May_17_2023,WHO_DERIVED,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,WHEN_DERIVED,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,OPTIMIZED,YES,BOOL
ScenarioSummary_BOM_Wed_May_17_2023,WHO_OPTIMIZED,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,WHEN_OPTIMIZED,YES,STRING
ScenarioSummary_BOM_Wed_May_17_2023,PRIVATE_HOUSEHOLDS_ALL,YES,INT64
ScenarioSummary_BOM_Wed_May_17_2023,ADDRESSES_ALL,YES,INT64
ScenarioSummary_BOM_Wed_May_17_2023,PRIVATE_HOUSEHOLDS_UNSERVED,YES,INT64
